,StartStation Id,EndStation Id,count
0,2,625,1
1,3,154,1
2,11,797,1
3,14,8,1
4,17,533,1
5,18,545,1
6,21,540,1
7,28,28,1
8,29,105,1
9,31,31,1
10,31,749,1
11,33,340,1
12,37,133,1
13,39,58,1
14,39,786,1
15,43,286,1
16,43,836,1
17,46,481,1
18,47,195,1
19,47,255,1
20,52,350,1
21,58,58,1
22,58,462,1
23,62,832,1
24,63,63,2
25,67,339,1
26,67,484,1
27,71,334,1
28,73,796,1
29,77,810,1
30,79,268,1
31,83,83,1
32,83,424,1
33,83,486,1
34,84,298,1
35,85,785,2
36,87,87,1
37,88,12,1
38,88,457,1
39,90,457,1
40,93,32,1
41,93,93,2
42,94,273,1
43,94,317,1
44,94,587,1
45,95,568,1
46,97,616,1
47,98,98,1
48,100,603,1
49,101,101,1
50,104,104,1
51,104,480,1
52,106,106,1
53,108,687,1
54,109,605,1
55,113,514,1
56,113,651,1
57,114,121,1
58,114,315,1
59,116,70,1
60,119,39,1
61,122,332,1
62,122,451,1
63,124,639,1
64,126,33,1
65,130,101,1
66,131,22,1
67,132,104,1
68,132,313,1
69,132,479,1
70,133,140,1
71,138,13,1
72,138,807,1
73,140,388,1
74,143,143,1
75,152,670,1
76,153,404,1
77,153,711,1
78,154,732,1
79,155,155,1
80,156,278,1
81,157,613,1
82,157,746,1
83,158,356,1
84,159,335,1
85,159,410,2
86,163,707,1
87,164,750,1
88,166,248,1
89,167,746,1
90,168,143,1
91,174,173,1
92,176,176,1
93,176,771,1
94,177,432,1
95,180,191,1
96,180,432,1
97,190,229,1
98,191,239,1
99,192,116,1
100,192,167,1
101,199,401,1
102,201,151,1
103,206,702,1
104,211,289,1
105,213,213,1
106,215,537,1
107,217,644,1
108,220,700,1
109,221,374,1
110,222,354,2
111,225,29,1
112,225,111,1
113,226,208,1
114,226,432,2
115,228,564,1
116,229,268,1
117,229,378,1
118,230,62,1
119,233,432,1
120,234,93,1
121,234,234,1
122,235,272,1
123,236,215,1
124,242,568,1
125,243,177,1
126,244,358,1
127,244,798,1
128,247,114,1
129,248,248,2
130,249,808,1
131,250,597,1
132,251,32,1
133,251,340,1
134,252,252,2
135,252,819,2
136,260,193,1
137,263,699,1
138,263,717,2
139,264,328,1
140,264,479,1
141,265,49,1
142,275,264,1
143,276,450,1
144,277,341,1
145,278,278,1
146,278,362,1
147,286,290,1
148,290,366,1
149,293,293,1
150,300,566,3
151,300,780,1
152,301,541,1
153,302,693,1
154,302,774,1
155,303,29,1
156,303,185,1
157,303,191,1
158,303,307,1
159,303,354,1
160,303,558,1
161,303,771,1
162,307,8,1
163,307,212,1
164,307,261,1
165,307,307,1
166,307,350,1
167,307,404,2
168,307,568,1
169,307,753,1
170,308,249,1
171,312,433,1
172,315,76,1
173,317,125,1
174,317,514,1
175,320,259,1
176,321,148,1
177,321,798,1
178,327,812,1
179,329,38,1
180,329,201,1
181,329,697,1
182,330,404,2
183,332,330,1
184,332,332,2
185,335,427,1
186,338,74,1
187,341,354,1
188,341,833,1
189,344,749,2
190,347,603,1
191,348,244,1
192,349,22,1
193,349,64,1
194,350,309,1
195,351,545,1
196,355,117,1
197,355,270,1
198,356,47,1
199,357,14,1
200,358,378,1
201,360,178,1
202,361,799,1
203,364,251,1
204,365,798,1
205,374,125,1
206,377,162,1
207,378,616,1
208,383,820,1
209,384,155,1
210,386,8,6
211,386,386,2
212,386,410,1
213,386,568,1
214,392,292,1
215,392,350,1
216,395,720,1
217,397,157,1
218,397,397,1
219,397,524,2
220,399,471,1
221,401,73,1
222,404,826,2
223,405,367,1
224,410,110,1
