,StartStation Id,EndStation Id,count
0,1,1,2
1,1,64,1
2,1,189,2
3,1,263,1
4,1,661,1
5,2,2,6
6,2,28,2
7,2,109,2
8,2,111,2
9,2,151,1
10,2,191,2
11,2,194,2
12,2,211,1
13,2,216,1
14,2,225,4
15,2,252,3
16,2,274,1
17,2,277,1
18,2,298,1
19,2,300,1
20,2,303,2
21,2,307,1
22,2,383,2
23,2,388,1
24,2,405,1
25,2,461,1
26,2,481,1
27,2,513,2
28,2,564,1
29,2,571,1
30,2,573,2
31,2,584,1
32,2,666,3
33,2,695,2
34,2,801,2
35,2,826,2
36,3,10,1
37,3,194,2
38,3,294,1
39,3,328,2
40,3,606,1
41,3,739,1
42,4,4,3
43,4,48,2
44,4,102,1
45,4,180,1
46,4,547,1
47,4,593,1
48,4,836,2
49,5,5,6
50,5,99,1
51,5,153,2
52,5,163,1
53,5,169,1
54,5,222,1
55,5,229,2
56,5,259,1
57,5,264,2
58,5,300,1
59,5,301,1
60,5,303,3
61,5,368,1
62,5,383,2
63,5,395,3
64,5,411,1
65,5,541,2
66,5,564,1
67,5,634,1
68,5,661,1
69,5,667,1
70,5,700,2
71,5,742,2
72,5,762,3
73,5,826,1
74,6,6,3
75,6,83,2
76,6,88,1
77,6,132,2
78,6,242,1
79,6,257,1
80,6,315,1
81,6,325,1
82,6,500,1
83,7,7,10
84,7,99,2
85,7,159,1
86,7,254,1
87,7,260,1
88,7,286,1
89,7,307,2
90,7,329,2
91,7,367,1
92,7,536,2
93,7,694,2
94,7,760,1
95,8,8,19
96,8,14,1
97,8,47,3
98,8,75,1
99,8,131,2
100,8,157,1
101,8,188,1
102,8,191,6
103,8,238,2
104,8,255,2
105,8,301,1
106,8,378,3
107,8,402,2
108,8,436,1
109,8,457,1
110,8,469,1
111,8,553,1
112,8,617,1
113,8,621,1
114,8,670,3
115,8,710,1
116,8,826,1
117,8,832,2
118,9,12,1
119,9,88,2
120,9,109,2
121,9,154,1
122,9,251,2
123,9,360,2
124,9,367,3
125,9,427,3
126,9,535,1
127,9,557,2
128,9,732,2
129,9,762,2
130,9,764,1
131,9,773,3
132,9,792,1
133,9,815,1
134,9,819,1
135,9,834,2
136,9,839,1
137,10,10,2
138,10,71,1
139,10,154,2
140,10,161,2
141,10,194,3
142,10,333,2
143,10,334,4
144,10,397,5
145,10,587,1
146,10,661,2
147,10,665,2
148,10,690,2
149,10,713,1
150,10,762,5
151,11,11,3
152,11,16,1
153,11,22,1
154,11,88,2
155,11,89,2
156,11,120,1
157,11,153,1
158,11,174,2
159,11,374,1
160,11,432,1
161,11,433,1
162,11,436,1
163,11,611,1
164,11,687,2
165,12,12,1
166,12,71,2
167,12,162,1
168,12,210,1
169,12,251,1
170,12,410,1
171,12,453,1
172,12,748,3
173,13,104,3
174,13,194,2
175,13,242,2
176,13,340,1
177,13,386,1
178,13,680,1
179,14,4,2
180,14,14,9
181,14,34,1
182,14,51,1
183,14,73,2
184,14,83,3
185,14,93,1
186,14,99,1
187,14,111,3
188,14,115,1
189,14,129,2
190,14,180,1
191,14,186,1
192,14,213,4
193,14,228,1
194,14,257,2
195,14,311,1
196,14,349,1
197,14,350,1
198,14,374,8
199,14,388,2
200,14,428,1
201,14,432,1
202,14,452,1
203,14,518,1
204,14,534,1
205,14,583,2
206,14,587,1
207,14,594,1
208,14,713,2
