,StartStation Id,EndStation Id,count
0,3,122,1
1,3,194,1
2,5,723,1
3,6,109,1
4,6,336,1
5,6,545,1
6,8,114,1
7,12,281,1
8,14,737,1
9,15,228,1
10,16,431,1
11,18,409,1
12,18,462,1
13,28,86,1
14,31,253,1
15,31,717,1
16,32,553,1
17,39,481,1
18,45,176,1
19,51,362,1
20,58,444,1
21,73,542,1
22,77,423,1
23,83,4,1
24,83,118,1
25,83,806,1
26,94,86,1
27,95,604,1
28,99,770,1
29,106,815,1
30,109,27,1
31,109,185,1
32,111,173,1
33,111,650,1
34,113,595,1
35,116,383,1
36,122,154,1
37,132,503,1
38,132,537,1
39,133,155,1
40,138,105,1
41,153,178,1
42,159,425,1
43,161,320,1
44,163,163,1
45,163,187,1
46,166,750,1
47,167,167,1
48,190,800,1
49,191,248,1
50,191,360,1
51,194,810,1
52,196,74,1
53,200,200,1
54,204,226,1
55,206,46,1
56,206,200,1
57,208,186,1
58,213,432,1
59,221,221,2
60,222,318,1
61,225,163,1
62,236,503,1
63,239,244,1
64,248,83,1
65,251,26,1
66,255,155,1
67,260,81,1
68,263,5,1
69,268,684,1
70,270,409,1
71,272,193,1
72,272,323,1
73,274,103,1
74,278,411,1
75,284,98,1
76,292,356,1
77,292,733,1
78,307,29,1
79,307,654,1
80,323,503,1
81,333,771,1
82,336,175,1
83,341,61,1
84,348,397,1
85,352,314,1
86,357,381,1
87,362,667,1
88,375,682,1
89,381,236,1
90,383,341,1
91,386,713,1
92,388,268,1
93,399,215,1
94,401,234,1
95,409,409,1
96,410,363,1
97,411,269,1
98,425,343,1
99,428,428,2
100,452,313,1
101,457,37,1
102,457,170,1
103,461,500,1
104,465,465,1
105,465,578,1
106,479,468,1
107,496,13,1
108,500,399,1
109,505,446,1
110,505,505,1
111,510,447,1
112,516,477,1
113,516,519,1
114,521,479,1
115,527,657,1
116,532,467,1
117,535,21,1
118,539,539,1
119,540,545,1
120,541,213,1
121,541,541,1
122,553,544,1
123,553,717,1
124,559,707,1
125,568,111,1
126,572,98,1
127,572,118,1
128,572,835,1
129,574,539,1
130,581,239,1
131,587,479,1
132,600,832,1
133,602,627,1
134,603,441,1
135,604,517,1
136,612,631,1
137,628,591,1
138,638,426,1
139,644,644,1
140,654,529,1
141,655,633,1
142,658,405,1
143,661,62,1
144,661,194,1
145,681,681,1
146,682,337,1
147,683,780,1
148,684,637,1
149,685,780,1
150,694,690,1
151,701,781,1
152,703,85,1
153,704,766,2
154,710,710,1
155,713,159,1
156,716,505,1
157,719,313,1
158,721,92,1
159,723,723,1
160,729,677,1
161,733,44,1
162,736,8,2
163,736,805,1
164,737,709,1
165,738,833,1
166,743,310,1
167,746,185,1
168,755,288,1
169,755,769,1
170,756,80,1
171,773,378,1
172,777,755,1
173,777,777,1
174,780,738,1
175,784,547,1
176,785,784,1
177,785,785,3
178,787,786,2
179,794,654,1
180,802,821,1
181,806,57,1
182,809,86,1
183,810,5,1
184,810,132,1
185,813,444,1
186,817,378,1
187,821,648,1
188,826,307,1
189,826,573,1
190,834,177,1
